"","Common name","Total catch"
"1","alewife",68
"2","american eel",1
"3","asian shore crab",1
"4","atlantic herring",1784
"5","atlantic mackerel",1
"6","atlantic moonfish",1
"7","atlantic saury",2
"8","atlantic silverside",12120
"9","atlantic tomcod",99
"10","bluefish",31
"11","crevalle jack",11
"12","fallfish",28
"13","green crab",526
"14","grubby sculpin",21
"15","longhorn sculpin",2
"16","mummichog",1732
"17","ninespine stickleback",2
"18","northern pipefish",15
"19","permit",12
"20","pollock",2
"21","red hake",1
"22","sandlance",21
"23","sculpin spp",1
"24","sturgeon spp",1
"25","threespine stickleback",6
"26","white mullet",115
"27","white perch",4
"28","winter flounder",94
