Year,Week Num,Black sea bass,Cod,Cunner,Cusk,Haddock,Hake,Longhorn sculpin,Mackerel,Pollock,Red Hake,Redfish,Sculpin,Sea Raven,Shorthorn sculpin,White Hake,Whiting
2014,21,0,0.2,0.2,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0
2014,22,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0
2014,24,0,0.615384615,0.076923077,0,0,0,0.230769231,0,0,0,0,0,0,0.076923077,0,0
2014,26,0,0.318181818,0.045454545,0,0,0,0.272727273,0.136363636,0.045454545,0,0,0,0.045454545,0.090909091,0,0.045454545
2014,28,0,0.155172414,0.051724138,0.017241379,0,0,0.224137931,0.034482759,0.396551724,0,0.051724138,0,0,0.068965517,0,0
2014,30,0,0.4,0,0,0,0.066666667,0.333333333,0,0.133333333,0,0,0,0,0,0,0.066666667
2014,32,0,0.19047619,0.095238095,0,0,0,0.19047619,0,0.380952381,0,0,0,0,0,0,0.142857143
2014,34,0,0.230769231,0.019230769,0,0,0,0,0.057692308,0.615384615,0,0.067307692,0,0,0,0,0.009615385
2014,39,0,0.423076923,0.102564103,0,0,0,0.038461538,0.064102564,0.307692308,0.012820513,0.025641026,0,0,0.025641026,0,0
2015,23,0,0.611111111,0.055555556,0,0,0,0.194444444,0,0.027777778,0,0.083333333,0.027777778,0,0,0,0
2015,26,0,0.2,0.036363636,0,0,0,0.072727273,0.418181818,0.218181818,0,0.054545455,0,0,0,0,0
2015,28,0,0.333333333,0,0,0,0,0.222222222,0,0.444444444,0,0,0,0,0,0,0
2015,30,0,0.436781609,0.068965517,0,0,0,0.08045977,0.045977011,0.229885057,0,0.045977011,0,0,0,0,0.091954023
2015,32,0,0.516129032,0.129032258,0,0,0,0.064516129,0.032258065,0.193548387,0,0,0,0.064516129,0,0,0
2015,34,0,0.487179487,0.153846154,0,0,0,0.179487179,0,0.076923077,0,0.025641026,0,0.025641026,0.051282051,0,0
2015,36,0,0.4375,0.229166667,0,0,0,0.104166667,0.041666667,0.145833333,0,0.020833333,0,0,0.020833333,0,0
2015,39,0,0.238095238,0.19047619,0,0,0,0.142857143,0.19047619,0.238095238,0,0,0,0,0,0,0
2016,26,0,0.066666667,0.066666667,0,0.266666667,0,0,0,0.4,0,0.066666667,0.066666667,0,0,0.066666667,0
2016,28,0,0.724137931,0.068965517,0,0,0,0,0.068965517,0.068965517,0,0.034482759,0,0,0,0.034482759,0
2016,30,0,0.567567568,0.027027027,0,0,0,0,0.027027027,0.324324324,0,0,0,0.027027027,0.027027027,0,0
2016,32,0,0.5,0.055555556,0,0,0,0.111111111,0.027777778,0.277777778,0,0,0,0,0.027777778,0,0
2016,39,0,0.428571429,0,0,0,0,0.285714286,0.142857143,0.071428571,0,0,0,0,0.071428571,0,0
2017,26,0,0.571428571,0,0,0,0,0.214285714,0,0,0,0,0,0,0.214285714,0,0
2017,27,0,0.142857143,0,0,0,0,0.571428571,0,0,0,0,0,0,0.285714286,0,0
2017,32,0,0.076923077,0.051282051,0,0,0,0.179487179,0.102564103,0.461538462,0,0.025641026,0,0,0,0,0.102564103
2023,23,0,0.043478261,0,0,0,0,0.086956522,0.086956522,0.782608696,0,0,0,0,0,0,0
2023,24,0,0.285714286,0,0,0,0,0,0,0.428571429,0.142857143,0.142857143,0,0,0,0,0
2023,25,0,0.428571429,0,0,0,0,0,0,0.285714286,0,0,0,0,0.142857143,0,0.142857143
2023,28,0,0.111111111,0,0,0,0,0.333333333,0.111111111,0.333333333,0,0,0,0,0,0,0.111111111
2023,29,0,0.333333333,0,0,0,0,0.166666667,0,0.5,0,0,0,0,0,0,0
2023,30,0.142857143,0.571428571,0,0,0,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0
2023,32,0,0.294117647,0,0,0,0,0.058823529,0,0.588235294,0,0,0,0,0,0,0.058823529
2023,33,0,0.454545455,0,0,0,0,0,0.090909091,0.272727273,0,0,0,0.090909091,0.090909091,0,0
2023,34,0,0.088235294,0,0,0,0,0.058823529,0,0.852941176,0,0,0,0,0,0,0
2023,36,0,0.0625,0,0,0,0,0,0.125,0.8125,0,0,0,0,0,0,0
2024,24,0,0.083333333,0,0,0,0,0,0.354166667,0.5625,0,0,0,0,0,0,0
2024,26,0,0.228571429,0,0,0,0,0.028571429,0.2,0.457142857,0,0.057142857,0,0,0,0,0.028571429
2024,27,0,0.166666667,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0
2024,28,0,0.323529412,0,0,0,0,0,0.264705882,0.352941176,0,0,0,0,0,0,0.058823529
2024,29,0,0.294117647,0,0,0,0,0.088235294,0.264705882,0.323529412,0,0,0,0.029411765,0,0,0
2024,31,0,0.375,0,0,0,0,0,0,0.5,0,0,0,0,0.0625,0,0.0625
2024,32,0,0.060606061,0.03030303,0,0,0,0.03030303,0.090909091,0.757575758,0,0,0,0,0,0,0.03030303
2024,33,0,0.217391304,0,0,0,0,0,0.173913043,0.347826087,0,0.217391304,0,0,0,0,0.043478261
2024,34,0,0.066666667,0.066666667,0,0,0,0.033333333,0.066666667,0.766666667,0,0,0,0,0,0,0
2024,35,0,0.105263158,0.026315789,0,0,0,0,0.157894737,0.657894737,0,0.026315789,0,0.026315789,0,0,0
2024,36,0,0.272727273,0.090909091,0,0,0,0,0.272727273,0.363636364,0,0,0,0,0,0,0
