common_name,nhfg_code
alewife,aw
american eel,ae
atlantic cod,cod
atlantic herring,ah
banded killifish,bdk
blueback,bb
bluefish,bf
butterfish,bt
chain pickerel,ecp
common dab,
crevalle jack,cvj
emerald shiner,es
golden shiner,gs
green crab,gc
hake,
horseshoe crab,hc
largemouth bass,lmb
longhorn sculpin,lsc
lumpfish,lmp
mullet,wm
mummichog,mmg
ninespine stickleback,nss
northern pipefish,pip
permit,prm
pogy,pgy
pollock,plk
northern puffer,nop
pumpkinseed sunfish,csf
red hake,rdh
redbreasted sunfish,rbs
river herring,
rock gunnel,rkg
sand lance,sdl
sculpin,
shad,as
shiner,cs
shortfin squid,sfs
shorthorn sculpin,shs
silverside,asv
smallmouth bass,smb
smelt,rs
spotted hake,
striped bass,stb
striped killifish,stk
threespine stickleback,tss
tomcod,tom
white hake,whk
white mullet,wm
white perch,wp
white sucker,cws
winter flounder,wf
yellow perch,yp
slimy sculpin,ss
grubby sculpin,gs
striped sculpin,ss
sturgeon,stg
Add new species found in September,
Add Plankton,
