Common name,Scientific name,Individuals caught,% of total catch,Encounters,% of encounters,Years encountered
Cunner,Tautogolabrus adspersus,1,< 0.01,1,0.2,1
Eastern Silvery Minnow,Hybognathus regius,1,< 0.01,1,0.2,1
Spotted Hake,Urophycis regia,1,< 0.01,1,0.2,1
Summer Flounder,Paralichthys dentatus,1,< 0.01,1,0.2,1
Northern Puffer,Sphoeroides maculatus,2,< 0.01,2,0.3,2
Red Hake,Urophycis chuss,2,< 0.01,2,0.3,2
American Eel,Anguilla rostrata,3,< 0.01,3,0.5,3
Crevalle Jack,Caranx hippos,3,< 0.01,2,0.3,2
Lumpfish,Cyclopterus lumpus,3,< 0.01,2,0.3,2
American Plaice,Hippoglossoides platessoides,4,< 0.01,1,0.2,1
Shortfin Squid,Illex illecebrosus,4,< 0.01,1,0.2,1
Atlantic Butterfish,Peprilus triacanthus,5,< 0.01,4,0.6,4
Rainbow Smelt,Osmerus mordax,5,< 0.01,3,0.5,2
Striped Bass,Morone saxatilis,6,< 0.01,6,0.9,3
Smallmouth Bass,Micropterus dolomieu,7,< 0.01,3,0.5,2
White Hake,Urophycis tenuis,7,< 0.01,2,0.3,2
American Shad,Alosa sapidissima,8,0.01,4,0.6,4
Largemouth Bass,Micropterus salmoides,9,0.01,4,0.6,3
Permit,Trachinotus falcatus,9,0.01,2,0.3,1
Atlantic Cod,Gadus morhua,10,0.01,2,0.3,1
White Sucker,Catostomus commersonii,19,0.01,6,0.9,5
Blueback Herring,Alosa aestivalis,20,0.01,6,0.9,3
Longhorn Sculpin,Myoxocephalus octodecemspinosus,20,0.01,7,1.1,2
Threespine Stickleback,Gasterosteus aculeatus,21,0.01,15,2.3,7
Rock Gunnel,Pholis gunnellus,25,0.02,11,1.7,6
Fallfish,Semotilus corporalis,28,0.02,3,0.5,1
Pollock,Pollachius virens,35,0.02,6,0.9,5
Ninespine Stickleback,Pungitius pungitius,42,0.03,6,0.9,4
Shorthorn Sculpin,Myoxocephalus scorpius,47,0.03,21,3.2,6
Northern Pipefish,Syngnathus fuscus,82,0.05,41,6.2,10
Grubby Sculpin,Myoxocephalus aenaeus,83,0.05,32,4.9,6
Bluefish,Pomatomus saltatrix,84,0.05,21,3.2,8
White Mullet,Mugil curema,180,0.11,9,1.4,6
Atlantic Tomcod,Microgadus tomcod,231,0.15,70,10.6,10
Atlantic Menhaden,Brevoortia tyrannus,682,0.43,4,0.6,3
Winter Flounder,Pseudopleuronectes americanus,1331,0.83,247,37.5,10
Green Crab,Carcinus maenas,4463,2.80,446,67.7,10
Sandlance,Ammodytes americanus,4688,2.94,65,9.9,9
Alewife,Alosa pseudoharengus,10184,6.38,140,21.2,10
Mummichog,Fundulus heteroclitus,14579,9.14,199,30.2,10
Atlantic Herring,Clupea harengus,55768,34.95,97,14.7,10
Atlantic Silverside,Menidia menidia,66887,41.91,369,56.0,10
