Well,Fluor,Sample,loc_id,Cq
A03,SYBR,A Blank,2023_q01_blank,39.91188863
A01,SYBR,A21,2023_q01_21,36.31917487
B01,SYBR,A22,2023_q01_22,36.73730073
C01,SYBR,A23,2023_q01_23,38.33462603
D01,SYBR,A24,2023_q01_24,40.15434649
E01,SYBR,A25,2023_q01_25,37.03424295
F01,SYBR,A26,2023_q01_26,37.59356278
A02,SYBR,B21,2023_q02_21,35.09551789
B02,SYBR,B22,2023_q02_22,36.29424022
C02,SYBR,B26,2023_q02_26,36.77250823
B03,SYBR,C Blank,2023_q03_blank,39.51204691
D02,SYBR,C23,2023_q03_23,33.14882268
E02,SYBR,C24,2023_q03_24,35.98504668
F02,SYBR,C25,2023_q03_25,35.68929031
C03,SYBR,Extra Blank,blank_rc,36.99338035
H03,SYBR,Neg Control,negctl_rc,41.09067545
G03,SYBR,Pos Control,posctl_rc,18.34857914
E01,SYBR,D21,2023_q04_21,35.18389726
D01,SYBR,D22,2023_q04_22,36.2226733
C01,SYBR,D23,2023_q04_23,35.00264439
B01,SYBR,D25,2023_q04_25,34.35340903
A01,SYBR,D26,2023_q04_26,37.88022365
F01,SYBR,D Blank,2023_q04_blank,38.61918592
B03,SYBR,Neg Control,netctl_rd,39.59454365
A03,SYBR,Pos Control,posctl_rd,18.59451907
A05,SYBR,E21,2023_q05_21,35.26479461
A06,SYBR,F21,2023_q06_21,36.53673273
A07,SYBR,G21,2023_q07_21,37.9256907
A08,SYBR,H21,2023_q08_21,34.70689914
A09,SYBR,I21,2023_q09_21,35.44875511
A10,SYBR,J21,2023_q10_21,35.49878932
A11,SYBR,F Blank,2023_q06_blank,38.38476516
B05,SYBR,E22,2023_q05_22,37.35419061
B06,SYBR,F22,2023_q06_22,36.23152076
B07,SYBR,G22,2023_q07_22,37.08574765
B08,SYBR,H22,2023_q08_22,36.40931347
B09,SYBR,I22,2023_q09_22,34.68959064
B10,SYBR,J22,2023_q10_22,39.00650351
B11,SYBR,G Blank,2023_q07_blank,42.11416705
C05,SYBR,E23,2023_q05_23,34.74934718
C06,SYBR,F23,2023_q06_23,35.81700879
C07,SYBR,G23,2023_q07_23,35.30022765
C08,SYBR,H23,2023_q08_23,37.06519122
C09,SYBR,I23,2023_q09_23,35.7168994
C10,SYBR,J23,2023_q10_23,38.76620177
C11,SYBR,H Blank,2023_q08_blank,39.34322199
D05,SYBR,E24,2023_q05_24,40.13637697
D06,SYBR,F25,2023_q06_25,35.24593062
D07,SYBR,G24,2023_q07_24,36.08550496
D08,SYBR,H24,2023_q08_24,37.32557867
D09,SYBR,I24,2023_q09_24,35.59568385
D10,SYBR,J24,2023_q10_24,37.27058114
D11,SYBR,I Blank,2023_q09_blank,33.94711617
E05,SYBR,E25,2023_q05_25,37.85083975
E06,SYBR,F26,2023_q06_26,36.32063676
E07,SYBR,G25,2023_q07_25,38.48604274
E08,SYBR,H25,2023_q08_25,37.87604654
E09,SYBR,I25,2023_q09_25,36.58717496
E10,SYBR,J25,2023_q10_25,37.62360763
E11,SYBR,J Blank,2023_q10_blank,37.05577788
F05,SYBR,E26,2023_q05_26,36.18096253
F07,SYBR,G26,2023_q07_26a,38.4759047
F08,SYBR,G26,2023_q07_26b,36.27736934
F09,SYBR,I26,2023_q09_26,36.26318156
F10,SYBR,J26,2023_q10_26,36.99106021
F11,SYBR,Extra Blank,blank_rj1,41.77123878
G11,SYBR,Extra Blank,blank_rj2,41.7483477
G12,SYBR,Pos Control,posctl_rj,20.4503729
H11,SYBR,Extra Blank,blank_rj3,43.710325
H12,SYBR,Neg Control,netctl_rj,42.1202419
